Student_ID,First_Name,Last_Name,Date_of_Birth,Gender,Program,Enrollment_Year,Status
8925563,Jennifer,Jackson,2005-01-20,Female,Master of IT,2018,Withdrawn
2198853,Zachary,Rodriguez,1997-04-29,Male,Bachelor of Science,2017,Withdrawn
8298789,Lauren,Reese,1995-11-30,Female,Master of IT,2020,Alumni
3171710,Donna,Martin,2005-03-05,Female,Bachelor of Science,2024,Withdrawn
1864121,Shannon,Mitchell,2003-12-08,Non-Binary,Bachelor of Arts,2016,Active
1128992,Eric,Martin,2000-01-01,Non-Binary,Bachelor of Arts,2024,Withdrawn
3082237,Michael,Long,2003-02-09,Female,Bachelor of Science,2021,Active
6927931,Kerry,Cox,2006-04-22,Female,Master of IT,2020,Alumni
6976394,Jessica,Martinez,2000-11-10,Male,MBA,2018,Alumni
5563898,Andrea,Kelly,2006-09-03,Non-Binary,Bachelor of Science,2017,Withdrawn
8912260,Kathryn,Ferguson,1999-10-30,Non-Binary,MBA,2016,Alumni
7337485,Jerry,Briggs,1997-02-12,Female,Master of IT,2018,Withdrawn
2577906,Isaac,Blanchard,1998-07-30,Male,Master of IT,2023,Alumni
3989816,Lawrence,Carr,1996-07-25,Female,MBA,2017,Alumni
1745685,Jessica,Diaz,2004-05-27,Non-Binary,Bachelor of Arts,2021,Withdrawn
9763992,Justin,Watts,2004-08-19,Non-Binary,MBA,2015,Alumni
3257910,Stephanie,Sampson,1997-10-24,Female,MBA,2020,Alumni
6033582,Brian,Harrington,2002-01-18,Female,Bachelor of Science,2020,Alumni
8187078,Kerri,Castillo,1997-01-30,Non-Binary,MBA,2021,Withdrawn
2110754,Alexis,Gomez,2005-03-28,Female,Bachelor of Science,2015,Active
5184929,Tyler,Johnson,1994-09-16,Male,Bachelor of Arts,2023,Alumni
1799777,Erika,Yang,1994-02-17,Female,Bachelor of Arts,2016,Alumni
7287895,Ryan,Griffith,2005-01-27,Female,MBA,2017,Alumni
2550498,Jimmy,Duncan,2002-01-31,Male,Bachelor of Arts,2024,Withdrawn
8415315,Travis,Ramos,2000-08-09,Non-Binary,Bachelor of Science,2018,Withdrawn
8527469,Stephen,Robertson,2003-03-16,Male,Master of IT,2022,Active
9163957,David,Gonzalez,2002-07-14,Non-Binary,Master of IT,2016,Alumni
3534373,Sheila,Villegas,1995-06-16,Non-Binary,Bachelor of Science,2023,Active
8114796,Rebecca,James,2004-10-17,Non-Binary,MBA,2024,Active
7753766,Jerry,Clayton,1998-08-04,Female,MBA,2022,Alumni
8958896,Ronald,Garcia,1998-03-09,Male,MBA,2017,Alumni
7339565,Jason,Manning,2000-10-09,Female,Bachelor of Science,2021,Withdrawn
6225266,Anna,Bell,1999-12-31,Female,Bachelor of Arts,2016,Active
2024937,Mathew,Ruiz,2005-03-31,Non-Binary,Bachelor of Science,2018,Active
6178348,John,Yang,2002-07-09,Female,Bachelor of Arts,2016,Withdrawn
7470292,Kathleen,Shaffer,2000-10-04,Female,MBA,2016,Withdrawn
9132290,Mckenzie,Smith,1995-04-15,Non-Binary,Bachelor of Arts,2017,Alumni
1118512,Henry,Holland,1996-05-05,Non-Binary,Bachelor of Science,2021,Alumni
7433635,Whitney,Stone,2004-03-27,Female,MBA,2016,Withdrawn
2387636,Richard,Hoover,1998-02-03,Non-Binary,Bachelor of Science,2018,Active
6837668,Lisa,Pena,1999-12-05,Male,Bachelor of Arts,2016,Alumni
8916265,Manuel,Davis,2004-07-14,Female,Bachelor of Arts,2017,Withdrawn
4992077,Crystal,Osborne,1999-03-20,Male,Bachelor of Arts,2017,Alumni
1326551,Jennifer,Johnson,1997-06-10,Male,Bachelor of Science,2017,Withdrawn
7432723,Christian,Davis,2006-10-15,Non-Binary,Bachelor of Arts,2024,Alumni
1877348,Richard,Griffin,2006-01-26,Female,MBA,2018,Alumni
7786510,Jesse,Morrow,1998-09-23,Female,Bachelor of Science,2020,Active
6735449,Michael,Martinez,2006-03-16,Female,MBA,2017,Active
8798903,April,Perry,1998-09-21,Male,Master of IT,2023,Active
2023445,Juan,Evans,2004-03-18,Female,MBA,2016,Withdrawn
4260625,Jennifer,Murphy,2002-09-19,Female,Master of IT,2024,Active
6374987,Jeffrey,Owens,1999-06-02,Male,Bachelor of Science,2020,Active
3809316,Jacob,Barnes,1994-03-30,Non-Binary,Bachelor of Science,2024,Active
5226749,Johnny,Villarreal,1999-09-16,Non-Binary,Bachelor of Science,2015,Active
1318772,Jennifer,Phillips,2002-09-30,Female,Bachelor of Arts,2024,Alumni
3341705,Kayla,Anderson,1996-12-19,Female,MBA,2018,Active
5065612,Tony,Ramirez,1996-08-31,Non-Binary,Master of IT,2017,Active
6256709,Heather,Martinez,1998-11-28,Non-Binary,Master of IT,2024,Active
6674371,Kelly,Blair,2004-04-03,Male,Bachelor of Science,2017,Alumni
1617906,Jeffrey,Freeman,2004-02-17,Female,MBA,2021,Alumni
5766898,Erik,Padilla,2000-08-27,Non-Binary,Master of IT,2015,Alumni
1239287,Michelle,Smith,2002-02-13,Male,Bachelor of Arts,2023,Alumni
2912415,Arthur,Gregory,1996-10-06,Female,Bachelor of Arts,2016,Withdrawn
9201396,Megan,Cooper,1996-02-27,Female,Bachelor of Science,2020,Active
8392452,Mercedes,Austin,2004-04-30,Non-Binary,Bachelor of Science,2023,Active
5742209,Tyler,Smith,1996-09-07,Male,MBA,2016,Alumni
7675392,William,Harrison,2002-09-19,Non-Binary,Bachelor of Arts,2024,Withdrawn
4591897,Patricia,Velasquez,1998-11-08,Male,Bachelor of Arts,2022,Alumni
4357069,Robin,Wilson,2000-03-16,Male,Master of IT,2017,Alumni
4810784,Justin,Cobb,1997-01-11,Non-Binary,MBA,2023,Alumni
9642954,Jeffrey,Simpson,1995-07-20,Non-Binary,MBA,2019,Withdrawn
8157707,Robert,Nguyen,1997-08-16,Male,Bachelor of Science,2022,Active
5091460,Cindy,Hale,2000-11-14,Female,Bachelor of Science,2023,Active
6147971,Robin,Rasmussen,1994-11-24,Non-Binary,Master of IT,2021,Active
7079786,Sarah,Tate,2000-06-23,Female,MBA,2020,Active
2786450,Randy,Williams,1996-04-19,Male,MBA,2019,Withdrawn
9214914,Catherine,Doyle,2005-06-10,Male,Bachelor of Arts,2017,Withdrawn
6878800,Elizabeth,Mitchell,2002-08-30,Male,Master of IT,2020,Alumni
2621615,Kim,Hester,2000-12-14,Non-Binary,MBA,2024,Alumni
5491324,Mary,Aguilar,1994-09-13,Male,MBA,2021,Active
7249730,Henry,Villarreal,1995-02-13,Female,MBA,2015,Withdrawn
7943582,Vincent,Harrington,1995-12-25,Non-Binary,Bachelor of Arts,2023,Active
2329244,Amanda,Allen,1999-08-07,Male,Master of IT,2017,Withdrawn
4824710,Kevin,Watson,2000-04-13,Non-Binary,Bachelor of Arts,2024,Alumni
9600836,Jose,Flores,2004-11-29,Non-Binary,Bachelor of Arts,2016,Active
4821266,Sherry,Wells,1997-11-30,Non-Binary,Bachelor of Arts,2021,Withdrawn
1374236,Ryan,Holloway,1995-07-10,Non-Binary,Master of IT,2021,Alumni
3279749,Kathy,Perez,2003-02-17,Non-Binary,Bachelor of Science,2024,Alumni
6749308,Seth,Osborne,2003-10-01,Male,Bachelor of Arts,2018,Alumni
8335744,Danielle,Davila,2006-04-22,Non-Binary,MBA,2020,Withdrawn
7056069,Kelly,Evans,2006-06-11,Male,Master of IT,2021,Active
2168922,Peter,Smith,2000-12-16,Male,Bachelor of Arts,2020,Withdrawn
7114099,Jessica,Jacobson,2001-01-06,Non-Binary,MBA,2019,Withdrawn
5854498,Patrick,Warren,2001-01-09,Female,MBA,2015,Active
1311273,James,Mueller,1994-10-01,Female,Bachelor of Arts,2019,Alumni
8852794,Matthew,Juarez,2001-03-29,Non-Binary,Master of IT,2024,Alumni
7119675,Daniel,Murphy,1998-03-16,Male,MBA,2024,Active
1120295,Daniel,Bell,1999-06-08,Non-Binary,Bachelor of Science,2024,Active
1427163,Cynthia,Ellis,1995-11-12,Female,Bachelor of Arts,2020,Withdrawn
7200645,Samantha,Martin,2000-08-24,Female,Bachelor of Science,2021,Withdrawn
6298691,Tara,Jordan,1999-09-06,Non-Binary,Master of IT,2020,Active
4284779,Laura,Mcintosh,2003-02-16,Male,MBA,2019,Alumni
2076259,Lisa,Hansen,1998-11-27,Non-Binary,Master of IT,2017,Withdrawn
2225739,Daniel,Stephens,2004-06-01,Male,Bachelor of Arts,2015,Withdrawn
3157554,Jake,Williams,2005-06-07,Non-Binary,Master of IT,2020,Active
7452065,Paul,Olson,1998-03-06,Non-Binary,Bachelor of Arts,2019,Alumni
2215743,Chelsea,Vazquez,1995-11-25,Female,Master of IT,2019,Active
4123494,Brittany,Griffin,1995-09-17,Female,Bachelor of Science,2024,Withdrawn
9407834,Matthew,Bell,2002-01-18,Male,MBA,2018,Alumni
5986499,Meredith,Wilson,1996-06-30,Male,Bachelor of Arts,2022,Withdrawn
9726637,Carmen,Ramirez,2000-03-03,Female,Master of IT,2021,Active
7045984,Susan,Romero,1995-08-12,Male,Bachelor of Arts,2019,Active
6028983,Scott,Hill,1997-08-02,Male,Bachelor of Arts,2020,Alumni
2205015,Holly,Torres,1996-02-22,Male,MBA,2021,Alumni
7848653,Linda,Thomas,2002-11-18,Female,Bachelor of Arts,2024,Active
1639733,Michael,Singh,2001-09-22,Female,Bachelor of Science,2017,Alumni
9038661,Joseph,Preston,2006-06-18,Non-Binary,Bachelor of Science,2017,Active
6019884,Veronica,Shepherd,2003-09-06,Male,Bachelor of Science,2020,Active
7641069,Randy,Herrera,1995-11-15,Female,MBA,2015,Active
5010445,Benjamin,Elliott,1999-02-10,Male,Bachelor of Science,2016,Alumni
6621708,Joshua,Sanders,2002-09-30,Non-Binary,Bachelor of Science,2024,Alumni
4749418,Brian,Sanders,2005-04-29,Female,MBA,2015,Withdrawn
7082998,James,Bradshaw,2002-09-09,Female,MBA,2021,Withdrawn
4811461,Sarah,Johnson,2002-03-11,Non-Binary,Bachelor of Science,2017,Active
7615704,Christine,Ortiz,1994-08-04,Female,Bachelor of Science,2017,Alumni
7970177,Melanie,Lin,2000-09-06,Female,Master of IT,2023,Withdrawn
3499439,James,Rivera,2005-10-26,Female,Master of IT,2017,Withdrawn
1498110,Jennifer,Jones,2002-06-21,Non-Binary,Bachelor of Science,2024,Active
9241421,Shawn,Turner,1995-04-11,Male,MBA,2023,Withdrawn
8331482,Justin,Fischer,2001-05-10,Non-Binary,Bachelor of Arts,2023,Alumni
3878343,Carl,Benson,1994-12-17,Male,MBA,2024,Alumni
5675891,Sharon,Brown,2003-05-03,Non-Binary,Master of IT,2017,Withdrawn
4872706,Lindsey,Schultz,2003-11-23,Female,Bachelor of Science,2016,Alumni
7733507,Nichole,Smith,1999-07-22,Male,Master of IT,2018,Alumni
2143480,Matthew,Wilkinson,1998-01-14,Female,Bachelor of Arts,2021,Withdrawn
7746195,Kevin,Jones,2006-09-24,Non-Binary,Bachelor of Arts,2022,Active
4207273,David,Wilson,2003-08-04,Non-Binary,Master of IT,2020,Withdrawn
3373532,Brad,Solomon,1996-09-13,Non-Binary,MBA,2021,Active
8775244,Thomas,Hernandez,1994-02-05,Female,Master of IT,2015,Withdrawn
3808916,Timothy,Ross,2006-11-09,Male,MBA,2020,Active
6271113,Joseph,Knight,2001-12-02,Male,MBA,2016,Alumni
1539919,Marc,Mejia,1999-09-14,Male,MBA,2018,Alumni
6475678,Jacob,Garcia,1999-03-11,Female,Bachelor of Science,2015,Withdrawn
1711239,Kimberly,Harrell,2004-10-06,Female,Bachelor of Arts,2024,Active
6131645,Heidi,Figueroa,1995-10-07,Male,Master of IT,2019,Withdrawn
2525711,Daniel,Rogers,2003-10-30,Female,Bachelor of Science,2022,Active
2823757,Bruce,Allen,2003-07-05,Female,MBA,2015,Withdrawn
1932872,Amy,Booth,2002-10-22,Female,Bachelor of Arts,2022,Withdrawn
5658510,Samantha,Bennett,1997-07-07,Non-Binary,Bachelor of Science,2018,Active
2324292,Colleen,Wilson,2002-06-14,Female,Master of IT,2016,Active
1575928,Johnathan,Long,1997-08-06,Male,Bachelor of Science,2016,Active
9145225,Clifford,Fisher,2001-05-28,Female,Bachelor of Arts,2021,Withdrawn
2541662,Maria,Kane,2001-07-08,Female,MBA,2018,Alumni
4723566,Maria,Anderson,1999-07-25,Male,MBA,2020,Alumni
2880221,Melissa,Sullivan,1999-07-27,Female,Bachelor of Arts,2020,Withdrawn
4746013,Daniel,Copeland,1996-01-13,Female,Bachelor of Science,2020,Alumni
5085024,Kathryn,Vazquez,1997-10-29,Non-Binary,Bachelor of Science,2024,Active
4241078,Lauren,Yu,2006-09-28,Male,MBA,2021,Withdrawn
3637122,Kristi,Woods,2003-09-07,Female,Bachelor of Science,2020,Alumni
1445034,Charlotte,Ford,2001-04-25,Male,MBA,2015,Active
7317435,Nancy,Brooks,1999-01-18,Non-Binary,MBA,2023,Withdrawn
5866113,Christine,Salazar,1994-05-17,Female,Master of IT,2022,Active
1252605,Kari,Randall,2001-05-28,Female,Bachelor of Science,2016,Withdrawn
9613953,Wayne,Morgan,2005-08-12,Non-Binary,MBA,2020,Alumni
1216135,Michael,Everett,1998-12-01,Female,Master of IT,2018,Alumni
4784344,Sara,Chavez,2004-07-09,Non-Binary,MBA,2024,Alumni
7275428,Bill,Maldonado,2002-07-25,Female,Bachelor of Arts,2019,Withdrawn
8367250,Andrew,Buchanan,1994-10-31,Female,Bachelor of Science,2019,Withdrawn
3606771,Cody,Kelley,1996-08-27,Male,Bachelor of Arts,2019,Alumni
7863018,Michelle,Davis,2006-03-18,Non-Binary,MBA,2021,Alumni
4008123,Robert,Stanley,2001-09-10,Non-Binary,Master of IT,2019,Alumni
2954897,Jeffery,Jackson,2003-12-17,Female,Bachelor of Science,2022,Alumni
9166232,Kevin,Hunter,1998-08-08,Female,Bachelor of Science,2023,Active
2091278,Joshua,Woods,2004-06-16,Non-Binary,MBA,2022,Alumni
8968837,Carol,Young,1995-08-05,Female,Master of IT,2019,Withdrawn
4356793,Maria,Walton,1994-08-26,Male,Master of IT,2021,Active
6870038,Courtney,Jones,1998-02-12,Male,Bachelor of Arts,2015,Withdrawn
9931316,Lee,Gutierrez,2001-12-03,Male,Master of IT,2018,Alumni
3846932,Ryan,Hart,1996-12-11,Non-Binary,Master of IT,2017,Alumni
2194266,Cassandra,Martin,1995-03-14,Male,MBA,2019,Alumni
6761289,Melanie,James,2006-03-08,Male,Master of IT,2021,Active
7429712,Christopher,Rowland,1998-07-01,Female,Bachelor of Science,2021,Alumni
2087080,Heather,Edwards,2003-04-29,Female,Bachelor of Science,2017,Active
3780419,Eric,Jones,2000-11-17,Non-Binary,Master of IT,2018,Alumni
8877472,Rebecca,Miller,2006-02-16,Female,Bachelor of Science,2020,Active
6076307,Erica,Allen,2006-02-05,Non-Binary,Bachelor of Science,2016,Withdrawn
6804354,Claudia,Wiggins,2001-12-01,Female,Bachelor of Arts,2021,Active
8070313,Emily,Hall,1994-11-29,Non-Binary,Master of IT,2021,Alumni
2391590,Laurie,Fields,2002-07-12,Non-Binary,MBA,2023,Withdrawn
